DatGeracaoConjuntoDados,Codcvnarr,AnmArrecadacao,DatVencimentoTitulo,DatIncidenciaMultaMora,DatPagamentoTitulo,QtdDiasEmAtraso,SigNomAgente,NumCPFCNPJ,NomEmpreendimento,NumProcessoSIC,NumAutoInfracao,DscSituacaoArrecadacao,DscSituacaoCredito,VlrPcpPrvArr,VlrTotPvrArr,VlrTotPagArr,VlrTotDifPvrPagArr,VlrSelic
2024-09-10,2940946,201708,2017-11-07,2017-12-30,2018-03-12,125.0,Parque Eólico Laranjeiras IX S.A.,21815934000151,-,485000000952017,0068/2017-SFG,Quitada pela conciliação automática,Quitada,10112.26,10561.24,10561.24,0.0,0.5157
2024-09-10,2940946,202003,2020-03-25,2020-09-18,,,CANDENGO ENERGIAS RENOVAVEIS S.A.,22454143000106,-,485000035142015,0004/2020-SFG,Cancelada,Advertência  ,0.0,0.0,,0.0,0.3799
2024-09-10,2940946,201809,2018-10-05,2018-10-06,2018-10-31,26.0,CANDENGO ENERGIAS RENOVAVEIS S.A.,22454143000106,-,485000047632018,1010/2018-SFG,Quitada pela conciliação automática,Quitada,2522.59,2739.03,2739.03,0.0,0.4577
2024-09-10,2940946,201805,2018-07-15,2018-10-07,2019-04-08,267.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13084.95,13084.95,0.0,0.4735
2024-09-10,2940946,201805,2018-11-12,2018-10-07,2019-07-08,238.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13243.69,13243.69,0.0,0.4528
2024-09-10,2940946,201805,2018-08-14,2018-10-07,2019-03-08,206.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13036.19,13036.19,0.0,0.4678
2024-09-10,2940946,201703,2017-04-20,2018-02-16,2018-04-30,375.0,Cedro Administração e Participações Ltda,21007503000169,-,201700029001072,0002/2017-AGR,Quitação manual,Quitada,8333.33,10692.5,10692.5,0.0,0.5676
2024-09-10,2940946,201703,2017-05-10,2018-02-16,2018-06-11,397.0,Cedro Administração e Participações Ltda,21007503000169,-,201700029001072,0002/2017-AGR,Quitada pela conciliação automática,Quitada,8333.33,10779.16,10779.16,0.0,0.5583
2024-09-10,2940946,201805,2018-06-15,2018-10-07,2019-02-08,238.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,12985.35,12985.35,0.0,0.4789
2024-09-10,2940946,201703,2017-06-09,2018-02-16,2018-07-10,396.0,Cedro Administração e Participações Ltda,21007503000169,-,201700029001072,0002/2017-AGR,Quitada pela conciliação automática,Quitada,8333.33,10822.5,10822.5,0.0,0.5502
2024-09-10,2940946,201805,2018-05-26,2018-10-07,2018-12-27,215.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitação manual,Quitada,10375.0,12878.49,12878.49,0.0,0.4841
2024-09-10,2940946,201805,2019-01-11,2018-10-07,2019-12-09,332.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13491.65,13491.65,0.0,0.4425
2024-09-10,2940946,201805,2019-02-10,2018-10-07,2019-10-08,240.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13402.43,13402.43,0.0,0.4376
2024-09-10,2940946,201805,2018-10-13,2018-10-07,2019-06-10,240.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13194.93,13194.93,0.0,0.4577
2024-09-10,2940946,201805,2018-12-12,2018-10-07,2019-11-08,331.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13452.23,13452.23,0.0,0.4479
2024-09-10,2940946,201805,2018-09-13,2018-10-07,2019-05-08,237.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13138.9,13138.9,0.0,0.4631
2024-09-10,2940946,201805,2019-03-12,2018-10-07,2019-09-09,181.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13354.7,13354.7,0.0,0.4329
2024-09-10,2940946,201805,2019-04-11,2018-10-07,2019-08-08,119.0,Cedro Administração e Participações Ltda,21007503000169,-,485000035122015,0001/2018-SFG,Quitada pela conciliação automática,Quitada,10375.0,13302.83,13302.83,0.0,0.4277
2024-09-10,2940946,201806,2018-07-04,2018-10-26,2018-10-22,110.0,CENTRAIS EÓLICAS CEDRO S.A,17330840000115,-,485000000772017,0014/2018-SFG,Quitação manual,Quitada,44192.81,45094.34,11273.59,33820.75,0.4735
2024-09-10,2940946,201806,2018-10-23,2018-11-04,2018-11-07,15.0,CENTRAIS EÓLICAS CEDRO S.A,17330840000115,-,485000000772017,0014/2018-SFG,Quitação manual,Quitada,33820.75,0.0,35421.64,-35421.64,0.4577
2024-09-10,2940946,202209,2022-10-01,2022-09-22,2022-10-03,2.0,CENTRAIS EÓLICAS CEDRO S.A,17330840000115,-,485000000772017,0040/2022-SFG,Quitada pela conciliação automática,Quitada,17851.35,13388.51,13388.51,0.0,0.2234
2024-09-10,2940946,201706,2017-07-20,2017-12-14,2017-12-22,155.0,Magnesita Refratários S.A.,8684547000165,-,485000023722016,0016/2017-SFF,Quitada pela conciliação automática,Quitada,66798.24,71220.29,71220.29,0.0,0.5422
2024-09-10,2940946,201312,2013-12-25,2013-12-26,2024-08-23,3894.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201300029010172,1008/2013-AGR,Quitada pela conciliação automática,Quitada,25.41,54.84,54.84,0.0,0.967
2024-09-10,1590275,201104,2011-05-18,2014-10-27,2014-10-17,1248.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485200100182011,0004/2011-AGR,Quitação manual,Quitada,44241.15,58101.9,11620.38,46481.52,1.1938
2024-09-10,2940946,201905,2019-06-01,2021-03-12,2021-03-05,643.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201800029005929,0003/2019-AGR,Quitada pela conciliação automática,Quitada,4563.2,4871.67,4871.67,0.0,0.4176
2024-09-10,1590275,201305,2013-05-20,2013-08-04,2013-08-30,102.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000059142012,050/2013-SFF,Quitada pela conciliação automática,Quitada,2000.0,2211.6,2046.6,165.0,1.0177
2024-09-10,1590275,200910,2009-10-26,2012-11-24,2012-12-03,1134.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000063842011,043/2009-AGR,Quitação manual,Quitada,61919.81,82390.5,82390.5,0.0,1.3459
2024-09-10,2940946,201409,2015-01-31,2017-06-01,2017-10-10,983.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000020882012,021/2014-SFF,Quitada pela conciliação automática,Quitada,17648.3,24757.03,24757.03,0.0,0.8454
2024-09-10,2600226,201009,2010-09-30,2013-10-14,,,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000031622013,010/2010-AGR,Cancelada,Cancelada,0.0,0.0,,0.0,1.2557
2024-09-10,2600226,201406,2014-07-11,2016-02-15,2016-02-05,574.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201400029002025,0001/2014-AGR,Quitada pela conciliação automática,Quitada,32092.0,38231.2,38231.2,0.0,0.9083
2024-09-10,2600226,201207,2012-08-09,2014-04-14,,,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000054752013,0006/2012-AGR,Cancelada,Multa Convertida em Advertência,0.0,0.0,,0.0,1.0687
2024-09-10,1590275,201312,2014-01-04,2014-05-19,2014-05-22,138.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201300029006791,1007/2013-AGR,Quitada pela conciliação automática,Quitada,621.74,642.75,642.75,0.0,0.9585
2024-09-10,2600226,201408,2014-08-31,2014-09-19,2015-04-10,222.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201400029002631,0003/2014-AGR,Quitada pela conciliação automática,Quitada,879.06,944.64,944.64,0.0,0.8905
2024-09-10,2600226,201201,2012-05-29,2014-09-20,2015-01-09,955.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340011822012,0001/2012-AGR,Quitada pela conciliação automática,Quitada,9076.96,11423.35,11423.35,0.0,1.0888
2024-09-10,2600226,201507,2015-08-20,2015-08-21,2015-08-19,-1.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201500029000861,0003/2015-AGR,Quitada pela conciliação automática,Quitada,27.71,27.71,27.71,0.0,0.782
2024-09-10,1590275,201011,2010-12-05,2013-06-07,2013-06-11,919.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000029422013,014/2010-AGR,Quitada pela conciliação automática,Quitada,14018.69,17482.71,17482.71,0.0,1.2383
2024-09-10,1590275,200903,2010-06-08,2010-06-20,2010-07-07,29.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000033212010,15/2009-AGR,Quitada pela conciliação automática,Quitada,1340.5,1350.24,1350.24,0.0,1.2898
2024-09-10,1590275,200905,2009-05-28,2009-05-29,2009-10-27,152.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000069152009,018/2009-AGR,Quitação manual,Quitada,2593.03,2687.45,2687.45,0.0,1.3821
2024-09-10,1590275,200903,2009-04-18,2009-03-20,2010-06-07,415.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000033212010,015/2009-AGR,Quitação manual,Quitada,12034.95,13375.45,12034.95,1340.5,1.3898
2024-09-10,1590275,200903,2009-03-19,2009-03-20,2010-05-05,412.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000033212010,015/2009-AGR,Quitação manual,Quitada,12034.95,13266.24,12034.95,1231.29,1.3982
2024-09-10,2600226,201104,2011-05-18,2011-05-30,2014-10-29,1260.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485200100182011,0004/2011-AGR,Quitação manual,Quitada,46481.52,46481.52,46481.52,0.0,1.1938
2024-09-10,1590275,201208,2012-08-22,2013-05-31,2013-07-31,343.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340031512013,007/2012-AGR,Quitada pela conciliação automática,Quitada,1170.89,1477.43,1477.43,0.0,1.0687
2024-09-10,1590275,201109,2011-10-05,2013-09-14,2013-09-16,712.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000036232013,0006/2011-AGR,Quitada pela conciliação automática,Quitada,219.03,253.7,253.7,0.0,1.1456
2024-09-10,2600226,201306,2013-06-21,2015-04-26,2015-05-06,684.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,201200029006427,1004/2013-AGR,Quitada pela conciliação automática,Quitada,106.8,131.62,131.62,0.0,1.0116
2024-09-10,1590275,200905,2009-05-25,2009-05-28,2009-05-27,2.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000005492009,061/2009-SFF,Quitação manual,Quitada,3631.01,3642.99,3642.99,0.0,1.3821
2024-09-10,2600226,201201,2012-04-29,2014-09-20,2014-12-10,955.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340011822012,0001/2012-AGR,Quitada pela conciliação automática,Quitada,9076.96,11336.22,11336.22,0.0,1.0962
2024-09-10,2600226,201201,2012-03-30,2014-09-20,2014-11-10,955.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340011822012,0001/2012-AGR,Quitada pela conciliação automática,Quitada,9076.96,11259.97,12743.14,-1483.17,1.1033
2024-09-10,2940946,201409,2015-01-01,2017-06-01,2017-09-08,981.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000020882012,021/2014-SFF,Quitada pela conciliação automática,Quitada,17648.3,24644.09,24644.09,0.0,0.8536
2024-09-10,2940946,201409,2014-11-02,2017-06-01,2017-07-10,981.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000020882012,021/2014-SFF,Quitada pela conciliação automática,Quitada,17648.3,24361.71,24361.71,0.0,0.8726
2024-09-10,2940946,201409,2014-10-15,2017-06-01,2017-06-12,971.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000020882012,021/2014-SFF,Quitação manual,Quitada,17648.3,24218.76,24218.76,0.0,0.881
2024-09-10,2940946,201409,2014-12-02,2017-06-01,2017-08-10,982.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000020882012,021/2014-SFF,Quitada pela conciliação automática,Quitada,17648.3,24502.9,24502.9,0.0,0.863
2024-09-10,1590275,201201,2012-02-29,2014-09-20,2014-09-19,933.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340011822012,0001/2012-AGR,Quitação manual,Quitada,9076.96,11091.14,11091.14,0.0,1.1033
2024-09-10,1590275,201201,2012-02-09,2014-09-20,2014-10-13,977.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485340011822012,0001/2012-AGR,Quitada pela conciliação automática,Quitada,9076.96,11892.63,11892.63,0.0,1.1115
2024-09-10,1590275,200903,2009-04-17,2014-09-25,,,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485200082112010,017/2009-AGR,Cancelada,Cancelada,0.0,0.0,,0.0,1.3898
2024-09-10,1590275,200904,2009-04-26,2009-07-17,2009-07-17,82.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000065752008,030/2009-SFF,Quitada pela conciliação automática,Quitada,5776.78,5898.27,5898.27,0.0,1.3898
2024-09-10,1590275,201302,2013-03-17,2013-03-18,2013-03-15,-2.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000046502011,026/2013-SFF,Quitada pela conciliação automática,Quitada,1999.99,1999.99,1999.99,0.0,1.0298
2024-09-10,1590275,200903,2010-05-06,2010-05-20,2010-07-07,62.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000033212010,15/2009-AGR,Quitada pela conciliação automática,Quitada,1231.29,1250.0,1250.0,0.0,1.2977
2024-09-10,2600226,201412,2014-12-28,2015-06-27,,,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000058802011,0033/2014-SFF,Cancelada,Multa Convertida em Advertência,177791.24,177791.24,,177791.24,0.863
2024-09-10,1590275,201102,2011-03-04,2011-03-05,2011-02-28,-4.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000036812009,008/2011-SFF,Quitada pela conciliação automática,Quitada,5704.62,5704.62,5704.62,0.0,1.2121
2024-09-10,1590275,200903,2009-05-18,2009-03-20,2010-07-07,415.0,CHESP COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP,1377555000110,-,485000033212010,015/2009-AGR,Quitada pela conciliação automática,Quitada,12034.95,13482.2,13482.2,0.0,1.3821
2024-09-10,2940946,202305,2023-06-06,2023-05-28,2023-06-05,-1.0,PONTE SERRADA GERAÇÃO DE ENERGIA S/A.,10286372000180,-,485000003472017,0010/2023-SFG,Quitação manual,Quitada,25213.17,18909.88,18909.88,0.0,0.1388
2024-09-10,2940946,201811,2018-12-19,2019-06-22,2019-07-25,218.0,Sepé Geração de Energia LTDA,19660348000133,-,000268-39.00/18-4,0010/2018-AGER,Quitada pela conciliação automática,Quitada,14761.54,15356.43,15356.43,0.0,0.4479
2024-09-10,2940946,202003,2020-04-08,2020-03-30,2020-04-08,0.0,AES Tietê Energia S.A.,4128563000110,-,ARSESPELE30602017,0002/2020-ARSE,Quitada pela conciliação automática,Quitada,21883.36,16412.52,16412.52,0.0,0.3771
2024-09-10,2940946,201808,2018-09-14,2020-02-13,2020-02-20,524.0,Rio Paraná Energia S.A.,23096269000119,-,485000046742018,1003/2018-SFG,Quitada pela conciliação automática,Quitada,300000.0,386070.0,386070.0,0.0,0.4631
2024-09-10,2940946,201808,2018-09-14,2019-05-17,2019-05-15,243.0,Rio Paraná Energia S.A.,23096269000119,-,485000046722018,1002/2018-SFG,Quitada pela conciliação automática,Quitada,300000.0,313620.0,313620.0,0.0,0.4631
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 VII ENERGIA S.A.,23598844000181,-,485000002022017,0070/2021-SFG,Quitada pela conciliação automática,Quitada,54586.76,57889.26,57889.26,0.0,0.327
2024-09-10,2940946,201608,2017-02-12,2016-11-03,2017-05-10,87.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11549.12,11549.12,0.0,0.586
2024-09-10,2940946,201608,2017-01-13,2016-11-03,2017-04-10,87.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11467.0,11467.0,0.0,0.5947
2024-09-10,2940946,201608,2016-12-14,2016-11-03,2017-03-10,86.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11357.85,11357.85,0.0,0.6056
2024-09-10,2940946,201608,2017-03-14,2016-11-03,2017-06-12,90.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11645.8,11645.8,0.0,0.5755
2024-09-10,2600226,201608,2016-10-15,2016-11-03,2017-01-10,87.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11154.1,11154.1,0.0,0.6272
2024-09-10,2600226,201608,2016-08-26,2016-11-03,2016-11-08,74.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitação manual,Quitada,10395.25,10929.57,10929.57,0.0,0.6488
2024-09-10,2600226,201608,2016-09-15,2016-11-03,2016-12-09,85.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11037.68,11037.68,0.0,0.6377
2024-09-10,2600226,201608,2016-11-14,2016-11-03,2017-02-10,88.0,BBF Rondonia Geração de Energia LTDA,19363707000190,-,485000013222016,0032/2016-SFG,Quitada pela conciliação automática,Quitada,10395.25,11267.41,11267.41,0.0,0.6168
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 VI ENERGIA S.A.,23598831000102,-,485000002002017,0069/2021-SFG,Quitada pela conciliação automática,Quitada,46244.55,49042.35,49042.35,0.0,0.327
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 V ENERGIA S.A.,23598829000133,-,485000002012017,0068/2021-SFG,Quitada pela conciliação automática,Quitada,50217.43,53255.58,53255.58,0.0,0.327
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 I ENERGIA S.A.,23598517000120,-,485000002072017,0064/2021-SFG,Quitada pela conciliação automática,Quitada,36697.82,38918.04,38918.04,0.0,0.327
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 II ENERGIA S.A.,23598858000103,-,485000002082017,0065/2021-SFG,Quitada pela conciliação automática,Quitada,42553.81,45128.32,45128.32,0.0,0.327
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 III ENERGIA S.A.,23598847000115,-,485000002092017,0066/2021-SFG,Quitada pela conciliação automática,Quitada,37474.1,39741.28,39741.28,0.0,0.327
2024-09-10,2940946,202111,2021-11-27,2022-06-09,2022-06-15,200.0,DELTA 3 IV ENERGIA S.A.,23598842000192,-,485000002102017,0067/2021-SFG,Quitada pela conciliação automática,Quitada,52764.8,55957.07,55957.07,0.0,0.327
2024-09-10,2940946,201807,2018-07-28,2018-07-29,2018-07-20,-8.0,Alteso Geração e Comercialização de Energia Ltda,22397150000113,-,ARSESP.ELE-3015-2018,0002/2018-ARSE,Quitada pela conciliação automática,Quitada,89.59,89.59,89.59,0.0,0.4735
2024-09-10,2940946,201811,2018-12-16,2018-12-17,2018-12-18,2.0,Alteso Geração e Comercialização de Energia Ltda,22397150000113,-,ARSESPELE30132018,1001/2018-ARSE,Quitada pela conciliação automática,Quitada,1528.68,1538.77,1543.81,-5.04,0.4479
2024-09-10,2940946,201808,2018-09-08,2018-09-09,2018-09-05,-3.0,Alteso Geração e Comercialização de Energia Ltda,22397150000113,-,ARSESP.ELE-3013-2018,0005/2018-ARSE,Quitada pela conciliação automática,Quitada,156.28,156.28,156.28,0.0,0.4631
2024-09-10,2940946,201802,2018-02-15,2019-02-10,,,Alteso Geração e Comercialização de Energia Ltda,22397150000113,-,ARSESP.ELE-3015-2017,0001/2018-ARSE,Cancelada,Multa Convertida em Advertência,0.0,0.0,,0.0,0.4998
2024-09-10,2940946,201705,2017-05-27,2017-08-14,2017-08-17,82.0,Central Fotovoltaica São Pedro II Ltda,24068977000109,-,485000004802017,0030/2017-SFG,Quitada pela conciliação automática,Quitada,65000.0,67554.5,67554.5,0.0,0.5583
2024-09-10,2940946,201709,2017-09-22,2018-02-16,2018-02-09,140.0,Central Fotovoltaica São Pedro II Ltda,24068977000109,-,485000004802017,0070/2017-SFG,Quitada pela conciliação automática,Quitada,145393.44,150235.04,150235.04,0.0,0.5278
2024-09-10,2940946,201705,2017-05-27,2017-08-14,2017-08-17,82.0,Central Fotovoltaica São Pedro IV Ltda,24069089000100,-,485000004792017,0031/2017-SFG,Quitada pela conciliação automática,Quitada,65000.0,67554.5,67554.5,0.0,0.5583
2024-09-10,2940946,201709,2017-09-22,2018-02-16,2018-02-09,140.0,Central Fotovoltaica São Pedro IV Ltda,24069089000100,-,485000004792017,0071/2017-SFG,Quitada pela conciliação automática,Quitada,145393.44,150235.04,150235.04,0.0,0.5278
2024-09-10,2940946,200506,2005-06-26,2007-03-29,,,CEB Companhia Energética de Brasília,70698000111,-,485000015872004,19/2005-SFF,Pendente de quitação,Suspensa COM decisão judicial,886346.97,2649471.88,,2649471.88,1.9979039600994848
2024-09-10,2940946,200306,2003-07-20,2005-03-05,2017-10-31,5217.0,CEB Companhia Energética de Brasília,70698000111,-,485000024302003,007/2003-SFE,Quitação manual,Quitada,90202.2,276564.26,276564.26,0.0,2.587700614022318
2024-09-10,2940946,200310,2003-10-19,2003-10-31,,,CEB Companhia Energética de Brasília,70698000111,-,485000037542003,025/2003-SFE,Pendente de quitação,Cancelada,34468.75,119626.76,,119626.76,2.479285889105036
2024-09-10,2940946,200309,2003-09-14,2005-02-24,2022-01-06,6689.0,CEB Companhia Energética de Brasília,70698000111,-,485000031802003,16/2003-SFF,Quitação manual,Quitada,827307.35,2653656.25,2653656.25,0.0,2.5168820972578247
2024-09-10,2940946,200310,2003-10-26,2004-09-13,,,CEB Companhia Energética de Brasília,70698000111,-,485000039542003,18/2003-SFF,Pendente de quitação,Suspensa COM decisão judicial,6407829.04,22192648.46,,22192648.46,2.472064630542609
2024-09-10,2940946,200703,2007-03-28,2007-12-23,,,CEB Companhia Energética de Brasília,70698000111,-,485000046802005,4/2007-SFE,Pendente de quitação,Suspenso COM depósito judicial,22243.57,58503.18,,58503.18,1.637668716633738
